epoch,accuracy,f1_score,auc_roc,precision,recall,optimal_threshold,status,evaluation_time
0,0.7916666666666666,0.7963800904977375,0.8542524005486969,0.7787610619469026,0.8148148148148148,0.074676394,success,6.03
1,0.7685185185185185,0.7787610619469028,0.8127572016460906,0.7457627118644068,0.8148148148148148,0.062806554,success,4.71
2,0.7546296296296297,0.774468085106383,0.8135288065843622,0.7165354330708661,0.8425925925925926,0.0648425,success,5.21
3,0.8194444444444444,0.8186046511627906,0.8806584362139918,0.822429906542056,0.8148148148148148,0.06772677,success,5.22
4,0.8333333333333334,0.830188679245283,0.8953189300411523,0.8461538461538461,0.8148148148148148,0.06971753,success,4.79
5,0.8194444444444444,0.8186046511627906,0.8784293552812071,0.822429906542056,0.8148148148148148,0.06978454,success,4.41
6,0.8055555555555556,0.798076923076923,0.8695130315500686,0.83,0.7685185185185185,0.073162295,success,4.31
7,0.8425925925925926,0.8365384615384616,0.9093792866941015,0.87,0.8055555555555556,0.06955608,success,4.51
8,0.8796296296296297,0.8773584905660378,0.936556927297668,0.8942307692307693,0.8611111111111112,0.06844791,success,4.7
9,0.8703703703703703,0.8715596330275229,0.9440157750342935,0.8636363636363636,0.8796296296296297,0.06725121,success,4.9
10,0.9074074074074074,0.9065420560747663,0.953875171467764,0.9150943396226415,0.8981481481481481,0.06976314,success,4.54
11,0.9074074074074074,0.9107142857142858,0.9508744855967077,0.8793103448275862,0.9444444444444444,0.067876354,success,4.52
12,0.9166666666666666,0.9196428571428572,0.9736796982167353,0.8879310344827587,0.9537037037037037,0.06867306,success,4.64
13,0.9166666666666666,0.9150943396226415,0.9645919067215363,0.9326923076923077,0.8981481481481481,0.06944727,success,4.94
14,0.8657407407407407,0.8612440191387559,0.9394718792866941,0.8910891089108911,0.8333333333333334,0.0699939,success,4.65
15,0.8796296296296297,0.8761904761904761,0.936042524005487,0.9019607843137255,0.8518518518518519,0.068286195,success,4.62
16,0.8611111111111112,0.8584905660377359,0.9368141289437585,0.875,0.8425925925925926,0.070512116,success,4.46
17,0.9259259259259259,0.923076923076923,0.9815672153635117,0.96,0.8888888888888888,0.071137756,success,4.64
18,0.9166666666666666,0.9174311926605504,0.9752229080932785,0.9090909090909091,0.9259259259259259,0.06945787,success,4.28
19,0.9583333333333334,0.9573459715639812,0.9926268861454047,0.9805825242718447,0.9351851851851852,0.0710213,success,4.58
20,0.9305555555555556,0.9333333333333333,0.987997256515775,0.8974358974358975,0.9722222222222222,0.075824015,success,4.04
21,0.9212962962962963,0.9178743961352657,0.9831104252400549,0.9595959595959596,0.8796296296296297,0.073390506,success,4.3
22,0.9768518518518519,0.9769585253456222,0.9962277091906722,0.9724770642201835,0.9814814814814815,0.07275719,success,4.09
23,0.8935185185185185,0.8930232558139535,0.9588477366255143,0.897196261682243,0.8888888888888888,0.06888355,success,4.23
24,0.9629629629629629,0.9622641509433962,0.9963134430727023,0.9807692307692307,0.9444444444444444,0.07580961,success,4.38
25,0.9814814814814815,0.9813084112149533,0.9991426611796983,0.9905660377358491,0.9722222222222222,0.07302904,success,4.62
26,0.9166666666666666,0.912621359223301,0.9718792866941015,0.9591836734693877,0.8703703703703703,0.07269243,success,4.05
27,0.9444444444444444,0.9464285714285714,0.9760802469135802,0.9137931034482759,0.9814814814814815,0.07059789,success,4.61
28,0.8842592592592593,0.8792270531400966,0.9546467764060356,0.9191919191919192,0.8425925925925926,0.06989255,success,4.41
29,0.9629629629629629,0.9622641509433962,0.9963134430727024,0.9807692307692307,0.9444444444444444,0.07046514,success,4.36
30,0.9814814814814815,0.981651376146789,0.9963991769547325,0.9727272727272728,0.9907407407407407,0.072069295,success,4.15
31,0.9351851851851852,0.9326923076923077,0.9862825788751715,0.97,0.8981481481481481,0.070519656,success,4.72
32,0.9861111111111112,0.9861751152073732,0.9995713305898491,0.981651376146789,0.9907407407407407,0.07327758,success,4.36
33,0.9212962962962963,0.9216589861751153,0.9746227709190672,0.9174311926605505,0.9259259259259259,0.06983786,success,4.7
34,0.9722222222222222,0.9722222222222222,0.9981138545953361,0.9722222222222222,0.9722222222222222,0.0689324,success,4.64
35,0.9351851851851852,0.9351851851851852,0.9814814814814814,0.9351851851851852,0.9351851851851852,0.06902307,success,4.19
36,0.9861111111111112,0.9859154929577464,0.999571330589849,1.0,0.9722222222222222,0.07484501,success,4.27
37,0.9537037037037037,0.9523809523809523,0.9956275720164609,0.9803921568627451,0.9259259259259259,0.07260765,success,4.82
38,0.9537037037037037,0.9545454545454546,0.9932270233196159,0.9375,0.9722222222222222,0.06974678,success,4.32
39,0.9814814814814815,0.9814814814814815,0.9987139917695473,0.9814814814814815,0.9814814814814815,0.07070339,success,4.46
40,0.9861111111111112,0.9859154929577464,0.999571330589849,1.0,0.9722222222222222,0.07356232,success,4.38
41,0.9814814814814815,0.9813084112149533,0.9987139917695473,0.9905660377358491,0.9722222222222222,0.072659425,success,4.49
42,0.9583333333333334,0.9589041095890412,0.9952846364883402,0.9459459459459459,0.9722222222222222,0.06953363,success,4.39
43,0.9490740740740741,0.9478672985781991,0.9907407407407407,0.970873786407767,0.9259259259259259,0.07080112,success,4.3
44,0.9675925925925926,0.9674418604651163,0.995713305898491,0.9719626168224299,0.9629629629629629,0.06993742,success,4.24
45,0.9768518518518519,0.9767441860465117,0.9984567901234568,0.9813084112149533,0.9722222222222222,0.073756754,success,4.68
46,0.9861111111111112,0.9859154929577464,0.9993998628257889,1.0,0.9722222222222222,0.072221175,success,4.82
47,0.9907407407407407,0.9906542056074767,0.9996570644718793,1.0,0.9814814814814815,0.07483311,success,4.14
48,0.9583333333333334,0.9589041095890412,0.9945130315500686,0.9459459459459459,0.9722222222222222,0.07137612,success,5.27
49,0.9907407407407407,0.9906542056074767,0.9997427983539094,1.0,0.9814814814814815,0.07440235,success,7.02
50,0.9675925925925926,0.9671361502347416,0.9969135802469136,0.9809523809523809,0.9537037037037037,0.07265954,success,7.49
51,0.9907407407407407,0.9906542056074767,0.9997427983539094,1.0,0.9814814814814815,0.07332447,success,454.49
52,0.9675925925925926,0.9671361502347416,0.997085048010974,0.9809523809523809,0.9537037037037037,0.072638586,success,7.01
53,0.9861111111111112,0.9861751152073732,0.999485596707819,0.981651376146789,0.9907407407407407,0.07207478,success,4.68
54,0.9629629629629629,0.963302752293578,0.9954561042524005,0.9545454545454546,0.9722222222222222,0.07318101,success,3.96
55,0.9907407407407407,0.9906542056074767,0.9999142661179697,1.0,0.9814814814814815,0.07268653,success,4.54
56,0.9629629629629629,0.9622641509433962,0.9955418381344308,0.9807692307692307,0.9444444444444444,0.0714056,success,6.49
57,0.9722222222222222,0.9722222222222222,0.9975137174211248,0.9722222222222222,0.9722222222222222,0.0749518,success,5.39
58,0.9907407407407407,0.9907407407407407,0.9998285322359396,0.9907407407407407,0.9907407407407407,0.0704203,success,4.76
