epoch,model_file,evaluation_time,samples_evaluated,generator_lr,discriminator_lr,total_loss,identity_loss,healing_loss,adversarial_loss,segmentation_loss,perceptual_loss,discriminator_loss,status
44,abnormal_to_normal_44.pth,0.21,3,0.000200,0.000200,3.288364,0.045174,0.063514,2.707490,0.000000,0.002106,0.271587,success
45,abnormal_to_normal_45.pth,0.23,3,0.000200,0.000200,2.194260,0.047298,0.089192,1.537356,0.000000,0.005536,0.309087,success
46,abnormal_to_normal_46.pth,0.22,3,0.000200,0.000200,3.091299,0.048818,0.095854,2.405166,0.000000,0.006242,0.184655,success
47,abnormal_to_normal_47.pth,0.20,3,0.000200,0.000200,2.711168,0.047477,0.071773,2.090087,0.000000,0.002765,0.329635,success
48,abnormal_to_normal_48.pth,0.22,3,0.000200,0.000200,2.762067,0.049017,0.068069,2.134002,0.000000,0.001754,0.175342,success
49,abnormal_to_normal_49.pth,0.20,3,0.000200,0.000200,3.146540,0.054829,0.075070,2.445351,0.000000,0.002757,0.206811,success
50,abnormal_to_normal_50.pth,0.24,3,0.000200,0.000200,3.390449,0.053638,0.076929,2.694863,0.000000,0.005351,0.217356,success
51,abnormal_to_normal_51.pth,0.22,3,0.000200,0.000200,2.330026,0.049720,0.089301,1.648973,0.000000,0.005250,0.239801,success
52,abnormal_to_normal_52.pth,0.22,3,0.000200,0.000200,2.796341,0.048806,0.066883,2.171927,0.000000,0.002591,0.223036,success
53,abnormal_to_normal_53.pth,0.24,3,0.000200,0.000200,3.395439,0.047488,0.074621,2.769210,0.000000,0.002109,0.199415,success
54,abnormal_to_normal_54.pth,0.34,3,0.000200,0.000200,2.700798,0.053434,0.065829,2.031533,0.000000,0.003269,0.243389,success
55,abnormal_to_normal_55.pth,0.23,3,0.000200,0.000200,1.809707,0.050606,0.065503,1.169907,0.000000,0.002728,0.339529,success
56,abnormal_to_normal_56.pth,0.24,3,0.000200,0.000200,1.934146,0.049843,0.064444,1.304667,0.000000,0.002158,0.255357,success
57,abnormal_to_normal_57.pth,0.18,3,0.000200,0.000200,4.992561,0.055681,0.085345,4.262470,0.000000,0.002587,0.210627,success
58,abnormal_to_normal_58.pth,0.17,3,0.000200,0.000200,2.888835,0.047514,0.069274,2.273264,0.000000,0.001883,0.197027,success
59,abnormal_to_normal_59.pth,0.17,3,0.000200,0.000200,5.115465,0.051492,0.068670,4.460760,0.000000,0.002444,0.323035,success
